symbol,timestamp,open,high,low,close,volume,trade_count,vwap,Lowest_5D,High_5D,Lowest_15D,High_15D,Stochastic_5,Stochastic_15,Stochastic_%D_5,Stochastic_%D_15,Stochastic_Ratio,TP,sma,mad,CCI,prev_close,Actual Returns,TR,ATR_12,ATR_26,ATR_Ratio
BBIG,2021-03-18 04:00:00+00:00,2.87,3.0199,2.68,2.84,995645,2680,2.838547,,,,,,,,,,2.846633333333333,,,,,,,,,
BBIG,2021-03-19 04:00:00+00:00,2.94,3.4,2.9,3.08,2518660,7780,3.108655,,,,,,,,,,3.1266666666666665,,,,2.84,0.08450704225352124,0.56,,,
BBIG,2021-03-22 04:00:00+00:00,3.16,3.39,2.95,3.38,2623331,6593,3.245617,,,,,,,,,,3.2399999999999998,,,,3.08,0.09740259740259738,0.43999999999999995,,,
BBIG,2021-03-23 04:00:00+00:00,3.55,4.86,2.8,3.12,36433861,115231,3.607393,,,,,,,,,,3.5933333333333337,,,,3.38,-0.07692307692307687,2.0600000000000005,,,
BBIG,2021-03-24 04:00:00+00:00,3.69,4.2892,3.31,3.52,17904575,64312,3.769219,,,,,,,,,,3.7064,,,,3.12,0.1282051282051282,1.1692,,,
BBIG,2021-03-25 04:00:00+00:00,3.01,3.82,2.91,3.61,7828864,22261,3.392149,,,,,,,,,,3.4466666666666668,,,,3.52,0.02556818181818188,0.9099999999999997,,,
BBIG,2021-03-26 04:00:00+00:00,3.59,4.05,3.34,3.69,9118740,27645,3.695105,,,,,,,,,,3.6933333333333334,,,,3.61,0.02216066481994461,0.71,,,
BBIG,2021-03-29 04:00:00+00:00,3.65,3.68,3.3,3.43,2390238,7116,3.422204,,,,,,,,,,3.47,,,,3.69,-0.07046070460704601,0.3900000000000001,,,
BBIG,2021-03-30 04:00:00+00:00,2.7,2.79,2.4,2.525,5800836,15607,2.633546,,,,,,,,,,2.5716666666666668,,,,3.43,-0.26384839650145775,1.0300000000000002,,,
BBIG,2021-03-31 04:00:00+00:00,2.55,2.64,2.4608,2.56,1562786,4315,2.563204,,,,,,,,,,2.5536,,,,2.525,0.013861386138613874,0.17920000000000025,,,
