,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
0,ADBE,2022-03-05,-6,0,-17,3,7,10,10
1,BIDU,2022-03-05,17,17,0,1,7,3,2
2,DASH,2022-03-05,6,12,-13,4,-7,-8,-4
3,DATA,2022-03-05,11,11,0,1,9,11,12
4,DBX,2022-03-05,-3,7,-13,2,3,3,3
5,EBAY,2022-03-05,0,0,0,2,-6,-6,-3
6,FB,2022-03-05,-2,16,-16,11,-14,-12,-4
7,FVRR,2022-03-05,-8,19,-16,9,-3,0,4
8,GOOG,2022-03-05,-10,12,-17,12,-38,-21,-20
9,GOOGL,2022-03-05,6,13,0,2,-1,6,13
10,LEA,2022-03-05,10,10,0,1,4,5,5
11,LYFT,2022-03-05,-3,0,-12,4,-17,-10,-6
12,MA,2022-03-05,0,0,0,1,-18,-10,-3
13,MCFE,2022-03-05,-15,0,-15,1,-2,-2,-6
14,MDB,2022-03-05,0,0,0,8,5,6,6
15,MSFT,2022-03-05,-4,15,-16,16,1,2,7
16,NOW,2022-03-05,-19,0,-19,1,3,6,9
17,NTES,2022-03-05,19,19,0,1,3,2,4
18,ORCL,2022-03-05,14,14,0,2,3,6,13
19,PLTR,2022-03-05,18,18,0,1,9,12,15
20,PYPL,2022-03-05,17,17,0,1,-28,-19,-7
21,SHOP,2022-03-05,10,20,0,2,4,7,11
22,SJM,2022-03-05,-7,0,-7,1,5,6,7
23,SNAP,2022-03-05,3,15,-13,18,5,8,9
24,TWNK,2022-03-05,20,20,0,1,0,4,8
25,VMW,2022-03-05,15,15,0,2,10,8,10
26,WB,2022-03-05,20,20,0,2,4,1,4
27,Z,2022-03-05,-20,0,-20,1,-7,-6,2
