,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
0,AAL,2022-03-08,7,17,-13,24,4,3,2
1,AAPL,2022-03-08,17,28,-17,53,7,-8,-5
2,ABNB,2022-03-08,3,17,-13,46,1,-4,0
3,ADBE,2022-03-08,8,19,-13,38,19,13,13
4,ADSK,2022-03-08,18,18,0,1,12,11,13
5,ADT,2022-03-08,19,19,0,3,2,-1,0
6,AEP,2022-03-08,18,18,0,1,10,9,8
7,AESE,2022-03-08,0,0,0,1,8,6,9
8,AFL,2022-03-08,1,14,-12,2,3,5,8
9,AFRM,2022-03-08,0,0,0,1,11,12,14
10,AHT,2022-03-08,0,0,0,1,4,5,6
11,AI,2022-03-08,11,11,0,1,11,8,8
12,AIZ,2022-03-08,0,0,0,1,2,4,6
13,AKAM,2022-03-08,0,0,0,1,9,8,8
14,ALK,2022-03-08,9,17,-6,3,0,2,6
15,ALL,2022-03-08,0,0,0,1,8,11,10
16,AMAT,2022-03-08,0,0,0,1,9,10,12
17,AMD,2022-03-08,19,19,0,3,24,27,25
18,AMPY,2022-03-08,4,18,-5,8,-26,-26,-17
19,AMZN,2022-03-08,0,11,-18,6,-12,-9,-6
20,ANF,2022-03-08,20,20,0,1,2,3,1
21,APPH,2022-03-08,19,19,0,2,13,9,9
22,APPS,2022-03-08,-18,0,-18,1,15,15,14
23,APRN,2022-03-08,13,13,0,1,-1,-2,1
24,ARVL,2022-03-08,7,23,-16,53,-5,-8,5
25,ASAN,2022-03-08,13,20,0,3,5,9,10
26,ASTS,2022-03-08,14,14,0,2,18,19,17
27,AT,2022-03-08,0,0,0,1,6,4,4
28,ATER,2022-03-08,15,15,0,1,18,14,13
29,ATUS,2022-03-08,14,14,0,1,6,6,8
30,ATVI,2022-03-08,11,19,-16,16,-13,-10,-4
31,AUD,2022-03-08,-3,16,-16,10,-16,-19,-7
32,AUTO,2022-03-08,10,10,0,1,10,8,10
33,AXP,2022-03-08,-10,0,-19,2,-8,2,4
34,AZO,2022-03-08,6,6,0,1,1,2,4
35,BABA,2022-03-08,10,16,0,5,15,15,16
36,BAC,2022-03-08,8,16,0,2,12,4,7
37,BB,2022-03-08,12,19,0,5,11,11,11
38,BBBY,2022-03-08,26,28,-17,81,8,5,9
39,BBIG,2022-03-08,17,19,0,13,27,24,27
40,BBL,2022-03-08,0,0,0,1,10,7,8
41,BBY,2022-03-08,0,13,-9,10,11,7,8
42,BCS,2022-03-08,7,14,0,2,-2,-6,-2
43,BDC,2022-03-08,20,20,0,1,6,7,6
44,BFLY,2022-03-08,-18,0,-18,1,1,1,2
45,BHLB,2022-03-08,20,20,0,1,11,10,7
46,BIDU,2022-03-08,5,19,-12,5,10,5,3
47,BILI,2022-03-08,20,20,0,1,-6,-2,3
48,BKI,2022-03-08,-14,0,-14,1,-3,1,2
49,BLBD,2022-03-08,20,20,0,1,1,6,7
50,BLK,2022-03-08,-9,0,-19,2,-6,-10,-7
51,BOX,2022-03-08,-15,0,-15,1,5,5,5
52,BP,2022-03-08,5,15,-18,5,11,6,10
53,BTBT,2022-03-08,20,20,0,1,14,11,13
54,BTU,2022-03-08,1,10,-16,4,15,10,12
55,BYND,2022-03-08,-10,11,-13,24,7,3,5
56,C,2022-03-08,0,0,0,2,-5,-4,2
57,CAG,2022-03-08,17,17,0,1,6,2,4
58,CANO,2022-03-08,-18,0,-18,1,4,3,6
59,CAR,2022-03-08,20,20,0,1,19,14,10
60,CASA,2022-03-08,13,13,0,1,9,1,7
61,CAT,2022-03-08,-8,0,-17,2,13,13,14
62,CCIV,2022-03-08,20,20,0,1,13,11,15
63,CCL,2022-03-08,11,15,0,4,11,11,8
64,CCV,2022-03-08,19,19,0,1,8,8,6
65,CCX,2022-03-08,17,17,0,2,8,4,5
66,CEI,2022-03-08,19,26,-13,36,32,29,26
67,CERN,2022-03-08,-20,0,-20,1,2,1,5
68,CF,2022-03-08,14,14,0,3,18,13,14
69,CFVI,2022-03-08,20,20,0,1,13,12,18
70,CGRO,2022-03-08,14,14,0,1,-4,0,4
71,CHPT,2022-03-08,20,20,0,1,19,12,11
72,CHTR,2022-03-08,19,19,0,1,5,4,6
73,CIEN,2022-03-08,9,18,0,2,6,4,6
74,CINF,2022-03-08,0,0,0,1,3,4,7
75,CLEU,2022-03-08,-20,0,-20,1,3,6,7
76,CLOV,2022-03-08,15,15,0,2,9,12,12
77,CLR,2022-03-08,19,19,0,1,10,7,8
78,CMCSA,2022-03-08,2,19,-15,2,-3,-9,-6
79,COIN,2022-03-08,1,10,-12,8,13,15,17
80,COP,2022-03-08,9,18,0,2,11,9,10
81,COST,2022-03-08,8,23,-16,62,7,4,6
82,COUR,2022-03-08,0,0,0,2,2,1,5
83,CPNG,2022-03-08,9,18,0,2,5,6,6
84,CREX,2022-03-08,7,7,0,1,12,12,10
85,CRM,2022-03-08,-19,26,-37,111,7,5,9
86,CRTD,2022-03-08,20,20,0,1,-3,0,3
87,CRWD,2022-03-08,13,19,0,3,14,12,7
88,CS,2022-03-08,-20,0,-20,1,-21,-20,-12
89,CSCO,2022-03-08,3,18,-19,21,0,2,3
90,CSGP,2022-03-08,-19,0,-19,1,-6,-5,-1
91,CTRM,2022-03-08,19,19,0,2,15,12,15
92,CTXS,2022-03-08,0,0,0,2,2,0,2
93,CVX,2022-03-08,4,18,-4,43,-6,-3,-5
94,CXO,2022-03-08,20,20,0,1,13,11,11
95,DAL,2022-03-08,19,19,0,4,6,3,4
96,DAN,2022-03-08,19,19,0,1,11,7,8
97,DASH,2022-03-08,-3,11,-16,22,2,-4,-2
98,DBD,2022-03-08,13,13,0,1,7,6,5
99,DBX,2022-03-08,2,8,0,5,3,5,2
100,DDOG,2022-03-08,12,12,0,2,12,14,17
101,DEH,2022-03-08,-19,0,-19,2,-11,-6,1
102,DFS,2022-03-08,6,6,0,1,4,5,8
