,stock,score,positive_score,negative_score,activity,activity_avg_7_days,activity_avg_14_days,activity_avg_30_days,score_avg_7_days,score_avg_14_days,score_avg_30_days
0,KO,-78,31,-79,17912,4450,2543,2120,-18,-8,-7
1,MS,2,44,-32,15078,2547,1834,1605,-5,-4,-2
2,WU,78,78,-33,13565,1998,1052,526,0,-6,-3
3,BLK,-4,34,-48,6539,2932,2359,3590,-3,-7,-6
4,MSFT,3,42,-30,4978,13223,10108,12509,-6,-8,3
5,BBBY,7,55,-54,3446,762,443,242,13,6,9
6,PG,59,65,-35,2714,448,265,181,10,10,7
7,GME,-10,50,-56,2638,2726,2953,3190,12,13,13
8,NFLX,1,31,-24,2432,16674,15195,21770,-21,-18,4
9,JPM,-5,40,-35,2395,2026,2317,3082,8,-4,1
10,PHM,0,16,-18,2365,1647,1558,1352,18,17,12
11,LMT,38,59,-40,2172,1226,1528,1256,6,-5,3
12,DASH,42,54,-31,2042,1503,1179,1279,6,-2,-2
13,MCD,-8,33,-39,2028,3826,4768,7709,-35,-21,-8
14,AAPL,10,45,-24,1963,18868,33797,34624,3,-8,-5
15,XOM,-12,45,-45,1864,10483,7397,13285,-12,-11,-7
16,GRMN,5,40,-17,1853,408,288,311,5,5,8
17,DNKN,-30,16,-32,1803,408,271,259,-9,-8,-6
18,AMC,28,52,-35,1720,3073,2975,3100,30,22,23
19,WB,10,37,-24,1681,4539,5085,4065,-1,-1,2
20,CVX,-15,38,-48,1521,9977,6017,12885,-3,-3,-2
21,AMD,38,52,-34,1510,1179,1716,1587,25,27,25
22,DE,-10,41,-23,1491,3273,1721,996,-7,1,4
23,NOK,3,38,-34,1458,1642,1069,907,7,7,9
24,WEC,16,48,-24,1447,360,324,361,3,5,7
25,BRN,46,57,-27,1425,262,148,82,20,12,8
26,NKE,39,57,-21,1395,6251,5015,5232,20,8,5
27,ADBE,19,39,-22,1355,6822,4905,3417,15,15,14
28,ATO,3,32,-11,1354,558,1132,1027,11,8,16
29,AMZN,-40,39,-58,1327,2633,4199,11765,-16,-10,-7
30,GS,1,35,-43,1303,1347,1416,2129,19,9,3
31,TM,3,35,-34,1296,3419,2782,4016,6,-3,6
32,BBIG,38,51,-35,1279,924,1002,1435,29,24,27
33,TFII,29,46,-12,1276,477,1687,2549,4,10,14
34,SPY,27,51,-37,1269,1948,1912,2139,5,4,10
35,MARPS,31,46,-34,1236,232,124,74,19,16,13
36,WAL,34,50,-14,1202,593,321,239,19,9,4
37,CSCO,-4,31,-18,1185,1278,844,930,4,1,4
38,HUSA,40,50,-23,1151,244,146,80,27,20,15
39,IMAX,26,42,-19,1150,3474,2424,3974,12,9,14
40,ES,31,48,-32,1147,883,919,844,18,13,13
41,TSLA,4,41,-34,1143,37792,23820,20559,18,5,4
42,NINE,35,48,-27,1128,183,102,51,17,14,8
43,CEI,42,51,-22,1124,935,1029,766,31,30,27
44,PLTR,15,46,-33,1114,922,1201,1350,24,13,15
45,BTU,25,45,-22,1079,618,492,351,18,11,12
46,NIO,17,45,-35,1055,1205,1321,1225,5,5,11
47,PFE,-21,37,-48,1050,20643,15061,18561,-36,-27,-4
48,QCOM,24,49,-28,1050,1137,1399,1503,11,10,14
49,CRON,20,45,-32,1021,1396,1448,1315,11,7,17
