,stock,score,positive_score,negative_score,activity,activity_avg_7_days,activity_avg_14_days,activity_avg_30_days,score_avg_7_days,score_avg_14_days,score_avg_30_days
0,MCD,60,72,-41,8128,5835,5583,8096,-19,-12,-5
1,IMAX,1,32,-19,6845,4117,2854,2866,9,10,12
2,ORCL,24,26,-21,3728,1821,4234,3458,0,4,10
3,MA,-1,34,-35,3515,35210,35906,18082,-13,-18,-8
4,OLB,14,60,-60,3339,628,392,261,12,8,12
5,LMT,-54,41,-67,3184,1362,1734,1297,2,-8,0
6,GEO,-2,27,-30,2553,1211,1323,1423,-24,-18,-9
7,WB,9,41,-24,2542,3705,4420,4024,3,1,3
8,PHM,-54,20,-55,2509,2063,1751,1438,9,12,10
9,TM,54,60,-26,2323,2086,2915,4061,13,1,8
10,AMD,48,59,-34,2288,1163,1724,1629,28,28,26
11,TSLA,5,48,-54,2262,34425,22306,18945,26,8,4
12,ISIG,12,47,-26,2038,713,583,694,-7,-13,-4
13,CS,44,56,-36,2029,807,2004,2230,-2,-15,-11
14,REN,-9,33,-36,1916,4697,3693,2784,-17,-11,-10
15,KO,7,45,-47,1871,3947,2281,1998,-4,-1,-4
16,HUSA,39,47,-27,1820,543,296,154,27,20,15
17,DASH,-2,32,-13,1813,1965,1432,1386,10,-1,-2
18,GS,-9,40,-43,1752,1586,1480,2165,19,9,4
19,XOM,25,56,-42,1692,29536,17059,17717,14,1,-1
20,PFE,2,39,-37,1648,11200,14659,17082,-18,-25,-3
21,AMC,27,51,-36,1643,1814,2801,3034,28,24,23
22,CVX,-13,46,-51,1632,29068,15240,17298,4,1,0
23,PEP,-6,41,-48,1583,11769,6962,4837,-18,-17,-2
24,UL,30,44,-29,1516,396,264,222,-3,-4,-2
25,KKR,14,30,-16,1369,4376,2880,8494,10,9,20
26,TFII,0,18,-6,1363,644,863,2429,7,7,13
27,SBUX,-11,26,-37,1357,4254,5134,18719,-5,-6,-15
28,CEI,37,53,-31,1350,1039,1094,809,34,32,28
29,GME,18,46,-32,1319,2227,2894,3177,9,14,13
30,SPY,33,52,-36,1312,1691,1763,2085,11,10,11
31,DE,39,53,-26,1224,2547,1775,1025,2,1,5
32,CYRN,40,53,-32,1221,289,343,171,23,20,11
33,WOOF,8,35,-12,1218,332,181,118,19,15,14
34,BBIG,28,49,-32,1157,801,900,1370,30,25,27
35,AMPY,21,43,-30,1150,2442,4925,3567,-19,-28,-19
36,GOLD,23,50,-33,1109,627,641,689,21,19,18
37,BCS,18,39,-34,1107,1056,1159,2168,8,1,-2
38,JPM,-13,28,-37,1106,2253,2421,3132,4,-7,0
39,ES,15,43,-38,1090,706,843,833,19,15,14
40,V,8,35,-15,1087,758,482,322,12,8,8
41,CRON,38,50,-21,1080,1284,1303,1296,20,15,19
42,HEC,0,17,-14,1076,402,271,296,4,5,12
43,USWS,38,54,-26,1070,331,220,128,26,21,17
44,HD,38,53,-25,1047,771,779,1038,10,5,7
45,FNKO,20,44,-28,1018,1280,1846,2400,11,7,4
46,MDB,23,49,-39,1002,529,432,381,13,9,8
47,ARVL,-22,32,-41,981,2944,2759,3330,-2,-12,3
48,HAS,-7,33,-44,976,412,516,980,-2,-6,-1
49,SMI,0,16,0,964,5,7,15,12,8,14
