symbol,timestamp,open,high,low,close,volume,trade_count,vwap,Lowest_5D,High_5D,Lowest_15D,High_15D,Stochastic_5,Stochastic_15,Stochastic_%D_5,Stochastic_%D_15,Stochastic_Ratio,TP,sma,mad,CCI,prev_close,Actual Returns,TR,ATR_12,ATR_26,ATR_Ratio
AMD,2021-04-22 04:00:00+00:00,81.61,81.79,78.59,79.06,38777558,304353,79.841882,77.935,83.95,74.85,83.95,18.703241895261844,46.26373626373631,46.201767899676526,66.04464128225081,0.6995536201374303,79.81333333333333,79.85930256410256,1.7334153846153844,-1.767963646691281,81.6,-0.031127450980392046,3.200000000000003,2.8087416666666676,2.593976923076923,1.0827936215157208
AMD,2021-04-23 04:00:00+00:00,80.02,83.3,79.96,82.76,49291358,342129,82.489785,77.935,83.95,74.85,83.95,80.21612635078974,86.92307692307696,46.98254364089773,66.44000208658917,0.7071424166975018,82.00666666666666,79.85582820512819,1.7299410256410255,82.8867739673951,79.06,0.04679989881102964,4.239999999999995,2.9329083333333337,2.6478615384615383,1.1076516995814718
AMD,2021-04-26 04:00:00+00:00,83.46,85.9,82.7,85.41,57559676,366222,84.949143,77.935,85.9,74.85,85.9,93.848085373509,95.56561085972844,55.1619695269046,66.47431888926755,0.829823764253877,84.67,80.06428974358974,1.88353076923077,163.0169017906452,82.76,0.0320202996616723,3.200000000000003,3.0670750000000004,2.593246153846154,1.1827164943254964
AMD,2021-04-27 04:00:00+00:00,85.8,87.15,85.13,85.21,61752240,430732,86.134187,77.935,87.15,74.85,87.15,78.94736842105252,84.22764227642269,66.52916557187987,65.96057562248784,1.0086201483844872,85.83,80.33993076923078,2.0362230769230774,179.7468163152742,85.41,-0.002341646177262624,2.0200000000000102,3.1162416666666672,2.6036307692307696,1.1968831001284204
AMD,2021-04-28 04:00:00+00:00,88.72,89.2,83.92,84.02,108754445,677836,85.470759,77.935,89.2,74.85,89.2,54.01686640035502,63.902439024390226,65.14633768819361,63.622306109784226,1.023954359274239,85.71333333333332,80.54961025641025,2.223753057199212,154.8050508637777,85.21,-0.013965497007393468,5.280000000000001,3.162075,2.7219000000000007,1.1617160806789373
AMD,2021-04-29 04:00:00+00:00,84.83,85.27,82.63,83.91,50916631,356219,83.928538,77.935,89.2,74.85,89.2,53.04039059032396,63.135888501742144,72.01376742720603,60.819778830720075,1.1840517807149913,83.93666666666665,80.74371282051283,2.2719282051282046,93.69292095723448,84.02,-0.0013092120923589023,2.6400000000000006,3.206241666666667,2.7315153846153852,1.1737959393254986
AMD,2021-04-30 04:00:00+00:00,82.75,84.1,81.415,81.62,46493939,323382,82.496743,78.51,89.2,74.85,89.2,29.09260991580917,47.1777003484321,61.78906414020994,56.8607030115354,1.0866742911651077,82.37833333333333,80.94185384615386,2.1842856015779097,43.842846867698,83.91,-0.027291145274699002,2.684999999999988,3.242075,2.7424769230769237,1.182170384997279
AMD,2021-05-03 04:00:00+00:00,81.97,82.0,78.46,78.55,66362530,459986,79.333204,78.46,89.2,74.85,89.2,0.8379888268156734,25.783972125435543,43.18704483087127,54.11269123011654,0.798094566156699,79.67,81.08134102564101,2.0340686390532543,-46.25674861847036,81.62,-0.0376133300661603,3.5400000000000063,3.087916666666667,2.802092307692308,1.1020039055065078
AMD,2021-05-04 04:00:00+00:00,78.0,78.67,77.04,78.61,58817024,399799,77.76231,77.04,89.2,74.85,89.2,12.911184210526264,26.202090592334514,29.979807988766016,50.99133393587423,0.5879392766321445,78.10666666666667,81.13750128205129,1.9735883629191306,-102.37982996959977,78.55,0.0007638446849140834,1.6299999999999955,3.0520833333333335,2.7698038461538466,1.1019131688951407
AMD,2021-05-05 04:00:00+00:00,79.01,79.3,77.36,77.83,42272251,285977,78.349647,77.04,89.2,74.85,89.2,6.496710526315725,20.7665505226481,20.47577681395816,48.65778130429528,0.42081197015349026,78.16333333333334,81.17686025641025,1.9312017751479282,-104.02941704856558,78.61,-0.00992240173005976,1.9399999999999977,2.9812499999999993,2.776726923076924,1.0736561723889078
