,stock,score,positive_score,negative_score,activity,activity_avg_7_days,activity_avg_14_days,activity_avg_30_days,score_avg_7_days,score_avg_14_days,score_avg_30_days
0,STMP,-37,34,-40,12608,3040,4908,3990,-16,-11,-12
1,XOM,-55,43,-62,9462,6078,3581,11458,-27,-17,-10
2,MA,-55,29,-64,9461,32221,19282,10851,-40,-19,-6
3,CVX,-58,43,-62,9029,2444,2089,11125,-10,-4,-6
4,DIS,-64,34,-69,5873,5079,3270,2639,3,2,10
5,WTRE,6,39,-38,4570,3644,4830,6452,-1,3,3
6,DEH,-71,20,-72,4513,707,561,301,-12,-5,1
7,PYPL,-47,50,-67,4073,3398,4979,4285,-22,-27,-12
8,ABNB,-39,40,-64,3760,12368,7067,4818,-3,-4,0
9,WB,-11,31,-52,3393,3103,4447,3673,-4,-3,2
10,ADBE,-19,52,-53,3173,2299,2354,2312,10,8,11
11,DASH,28,59,-43,2395,1333,1217,1236,-3,-8,-4
12,DB,-62,14,-65,2337,884,4112,2372,-16,-13,-8
13,BW,0,18,-15,2312,1138,604,448,9,2,4
14,PFE,-25,36,-49,2171,20059,14310,18177,-41,-26,-4
15,WAL,4,41,0,2146,458,213,190,13,5,2
16,KO,-50,38,-62,1885,2012,1391,1535,0,-1,-2
17,JPM,47,61,-37,1839,3026,2147,2881,-1,-5,1
18,ORCL,4,39,-33,1807,4970,4035,3215,-9,4,12
19,GS,50,61,-36,1806,1281,1317,2069,11,7,3
20,CROX,-4,38,-37,1748,1171,1245,1609,-2,1,5
21,COST,2,37,-36,1585,1677,1521,1602,5,4,6
22,NTDOY,23,39,-34,1558,7323,7904,12677,15,16,16
23,GME,14,45,-37,1425,3210,3352,3300,11,10,15
24,V,30,52,-13,1386,447,271,223,9,8,9
25,KKR,-35,31,-49,1381,2672,2879,8023,1,10,21
26,AMPY,-25,27,-41,1318,2849,5113,3605,-33,-29,-18
27,RACE,4,30,-35,1309,6791,5240,5619,14,15,16
28,ATVI,-5,35,-35,1309,3826,5961,6633,-16,-12,-4
29,TSLA,-9,43,-44,1285,11005,10101,13955,2,-2,2
30,AMC,28,48,-34,1279,3382,3073,3112,27,22,23
31,LYFT,-31,32,-51,1215,892,925,1084,-16,-15,-7
32,ISIG,-25,20,-26,1196,576,594,605,-16,-11,-5
33,TUP,-49,30,-55,1171,306,259,273,-10,-6,1
34,ARVL,-15,35,-38,1149,2427,2806,3711,-14,-13,4
35,NKE,11,43,-39,1018,6330,4681,5293,17,9,4
36,FTSI,-28,32,-48,1016,717,821,857,-3,-3,-2
37,FNKO,24,49,-35,1006,2088,1939,2402,1,3,3
38,HTZ,-23,30,-48,985,675,459,605,-11,-2,0
39,MCD,-7,37,-42,979,5991,7769,7864,-17,-13,-4
40,RBLX,-15,32,-42,972,1377,7363,9888,1,-8,1
41,TM,-7,40,-42,938,3394,2703,3955,-9,-3,6
42,CRON,25,41,-31,933,1439,1492,1293,10,8,17
43,IMAX,10,40,-34,847,3539,2780,3958,8,8,13
44,SPY,18,45,-32,847,1755,1770,2105,3,4,10
45,BA,-12,39,-46,835,4854,3133,2252,-2,-5,4
46,DISCB,-3,37,-34,828,2498,2963,3405,-16,-12,-10
47,MSFT,7,29,-32,801,11485,9336,12356,-2,-3,4
48,OXY,17,47,-24,800,553,377,265,14,12,15
49,KODK,5,35,-29,781,712,1060,1263,8,4,4
