,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
0,A,2022-03-10,0,0,0,1,7,7,7
1,AA,2022-03-10,20,20,0,1,24,18,18
2,AAC,2022-03-10,20,20,0,1,6,2,3
3,AAL,2022-03-10,1,18,-12,20,2,2,1
4,AAPL,2022-03-10,5,16,-14,41,0,-8,-5
5,ABBV,2022-03-10,-12,0,-18,3,8,10,13
6,ABNB,2022-03-10,24,33,-16,91,-2,0,4
7,ABT,2022-03-10,19,19,0,1,8,6,7
8,ACB,2022-03-10,24,28,-17,30,12,9,12
9,ACN,2022-03-10,-10,0,-10,1,-2,-3,2
10,ACRX,2022-03-10,0,0,0,2,6,8,6
11,ADBE,2022-03-10,16,31,-19,83,16,15,14
12,ADES,2022-03-10,19,19,0,1,12,13,10
13,ADP,2022-03-10,19,19,0,7,13,11,9
14,ADS,2022-03-10,12,16,0,9,14,12,12
15,AEE,2022-03-10,2,20,0,12,9,8,9
16,AFI,2022-03-10,2,6,0,3,9,6,5
17,AFRM,2022-03-10,0,0,0,1,10,11,14
18,AG,2022-03-10,19,19,0,1,14,12,13
19,AI,2022-03-10,6,19,-6,2,11,8,9
20,AIZ,2022-03-10,0,0,0,1,2,3,5
21,AKAM,2022-03-10,16,16,0,8,12,9,9
22,AKRO,2022-03-10,5,16,0,6,11,9,9
23,ALB,2022-03-10,2,20,-16,2,6,6,6
24,ALK,2022-03-10,16,16,0,1,2,2,6
25,ALL,2022-03-10,0,0,0,2,11,10,12
26,ALNA,2022-03-10,19,19,0,1,11,8,4
27,ALTM,2022-03-10,-19,0,-19,1,-3,1,1
28,AMAT,2022-03-10,3,3,0,1,10,10,12
29,AMBA,2022-03-10,18,18,0,1,10,10,9
30,AMC,2022-03-10,18,25,-8,32,30,24,24
31,AMD,2022-03-10,14,19,-17,12,29,29,26
32,AMPY,2022-03-10,-25,15,-27,43,-22,-25,-18
33,AMRH,2022-03-10,2,19,-14,2,-2,-5,-3
34,AMRS,2022-03-10,12,12,0,1,10,7,6
35,AMZN,2022-03-10,0,23,-21,70,-9,-7,-5
36,ANET,2022-03-10,4,15,-16,3,6,6,10
37,ANY,2022-03-10,3,18,0,6,20,18,17
38,AON,2022-03-10,20,20,0,1,3,5,6
39,APPS,2022-03-10,18,18,0,1,16,17,16
40,ARDX,2022-03-10,19,19,0,3,19,15,8
41,ARE,2022-03-10,26,26,0,21,4,6,5
42,ARNC,2022-03-10,-15,0,-15,2,1,3,3
43,ARVL,2022-03-10,-2,12,-9,13,-8,-13,2
44,ASAN,2022-03-10,-3,10,-16,10,1,5,9
45,ASC,2022-03-10,0,0,0,2,9,9,9
46,ASPN,2022-03-10,19,19,0,1,6,6,7
47,ASTS,2022-03-10,14,18,0,24,22,21,17
48,ATA,2022-03-10,19,19,0,5,14,12,13
49,ATER,2022-03-10,20,20,0,1,23,16,15
50,ATIF,2022-03-10,-19,0,-19,1,-1,-1,2
51,ATO,2022-03-10,18,18,0,2,14,11,17
52,ATVI,2022-03-10,-14,11,-23,34,-3,-11,-3
53,AUD,2022-03-10,-14,18,-18,18,-12,-20,-7
54,AUTO,2022-03-10,10,10,0,1,12,10,10
55,AVLR,2022-03-10,-18,0,-18,3,-2,0,3
56,AWK,2022-03-10,14,14,0,1,11,9,8
57,AX,2022-03-10,-18,0,-18,1,1,4,2
58,AXP,2022-03-10,17,17,0,1,-1,3,5
59,AXSM,2022-03-10,0,0,0,1,2,5,3
60,AZN,2022-03-10,16,16,0,1,-5,-5,-3
61,AZO,2022-03-10,15,15,0,1,0,2,5
62,BA,2022-03-10,-1,14,-8,38,-7,-6,1
63,BABA,2022-03-10,23,25,0,51,18,15,17
64,BAC,2022-03-10,6,20,-15,25,7,5,7
65,BALY,2022-03-10,0,0,0,1,-2,-1,1
66,BARK,2022-03-10,0,0,0,1,7,9,8
67,BB,2022-03-10,-1,0,-6,9,7,10,11
68,BBBY,2022-03-10,19,19,0,4,15,8,10
69,BBY,2022-03-10,12,29,0,106,18,11,10
70,BCE,2022-03-10,-26,0,-26,26,7,2,-4
71,BCLI,2022-03-10,20,20,0,1,17,10,5
72,BCOV,2022-03-10,3,20,-14,2,13,7,7
73,BCS,2022-03-10,1,7,0,6,6,-3,-1
74,BE,2022-03-10,0,0,0,1,6,7,7
75,BEAM,2022-03-10,7,16,-11,6,15,12,15
76,BGFV,2022-03-10,20,20,0,1,12,6,7
77,BHP,2022-03-10,-17,0,-17,1,6,5,3
78,BIDU,2022-03-10,2,11,0,15,18,9,5
79,BIG,2022-03-10,16,16,0,2,21,17,14
80,BIGC,2022-03-10,0,0,0,1,7,6,6
81,BILI,2022-03-10,-12,0,-12,1,-7,-4,1
82,BIO,2022-03-10,19,19,0,1,8,7,7
83,BITF,2022-03-10,0,0,0,5,16,13,13
84,BKI,2022-03-10,9,18,0,2,5,3,4
85,BLBD,2022-03-10,8,8,0,1,0,5,6
86,BLDR,2022-03-10,6,6,0,1,10,9,8
87,BLK,2022-03-10,-1,18,-19,5,-5,-7,-6
88,BLNK,2022-03-10,2,20,-16,2,12,8,10
89,BNGO,2022-03-10,18,18,0,2,17,16,17
90,BODY,2022-03-10,18,18,0,2,7,4,6
91,BOX,2022-03-10,0,0,0,1,7,6,6
92,BP,2022-03-10,18,18,0,3,11,7,11
93,BRN,2022-03-10,19,19,0,1,23,15,10
94,BTBT,2022-03-10,0,0,0,6,14,12,13
95,BTRS,2022-03-10,20,20,0,1,-2,-5,-1
96,BTU,2022-03-10,15,21,-16,15,22,15,13
97,BUD,2022-03-10,0,0,0,1,8,6,8
98,BW,2022-03-10,-9,0,-9,4,10,4,6
99,BYND,2022-03-10,-4,0,-19,10,7,4,6
100,C,2022-03-10,-5,10,-18,18,-10,-5,2
101,CACC,2022-03-10,14,14,0,1,5,9,9
102,CAN,2022-03-10,19,19,0,3,15,12,11
103,CANO,2022-03-10,20,20,0,2,13,8,8
104,CAR,2022-03-10,6,15,-9,12,20,18,12
105,CASA,2022-03-10,5,21,0,100,3,2,7
106,CAT,2022-03-10,9,14,0,3,21,14,15
107,CBRE,2022-03-10,-9,0,-9,1,0,-1,2
108,CCL,2022-03-10,19,19,0,1,13,12,9
109,CCX,2022-03-10,11,11,0,1,9,4,5
110,CDEV,2022-03-10,-10,0,-10,2,6,7,6
111,CEI,2022-03-10,13,26,-14,37,30,30,27
112,CERN,2022-03-10,18,18,0,2,5,4,6
113,CFVI,2022-03-10,20,20,0,1,15,12,18
114,CGA,2022-03-10,20,20,0,1,15,9,11
115,CGC,2022-03-10,19,19,0,1,11,9,13
116,CHGG,2022-03-10,10,20,0,2,3,-1,1
117,CHKP,2022-03-10,19,19,0,3,9,7,6
118,CHTR,2022-03-10,13,13,0,1,6,4,6
119,CHWY,2022-03-10,18,18,0,1,21,20,17
120,CIEN,2022-03-10,-19,0,-19,1,4,3,7
121,CL,2022-03-10,1,19,-18,19,11,13,12
122,CLD,2022-03-10,0,0,0,1,0,0,9
123,CLF,2022-03-10,19,19,0,1,18,17,14
124,CLOV,2022-03-10,22,22,0,14,17,15,14
125,CLR,2022-03-10,-11,0,-11,1,8,6,7
126,CLSK,2022-03-10,0,0,0,5,9,9,8
127,CLX,2022-03-10,16,16,0,1,-3,-5,1
128,CMCSA,2022-03-10,-3,17,-19,13,-5,-11,-5
129,CMG,2022-03-10,0,0,0,2,12,8,9
130,COCP,2022-03-10,19,19,0,1,11,9,5
131,COF,2022-03-10,0,0,0,1,9,7,8
132,COIN,2022-03-10,13,16,0,16,16,17,18
133,COP,2022-03-10,9,19,-19,6,7,9,9
134,COST,2022-03-10,8,23,-18,66,9,2,6
135,COUP,2022-03-10,-12,0,-12,1,8,6,6
136,COUR,2022-03-10,19,19,0,2,5,2,6
137,CPA,2022-03-10,10,17,0,7,11,11,10
138,CPB,2022-03-10,-2,20,-13,3,10,7,9
139,CPE,2022-03-10,-14,0,-14,1,16,15,12
140,CPNG,2022-03-10,20,20,0,6,8,6,8
141,CPRT,2022-03-10,18,18,0,1,5,2,4
142,CRCT,2022-03-10,8,13,-18,11,1,1,3
143,CRM,2022-03-10,29,37,-12,148,1,3,6
144,CRON,2022-03-10,22,23,0,17,19,14,18
145,CROX,2022-03-10,1,11,-12,10,6,3,6
146,CRSP,2022-03-10,17,17,0,1,7,4,6
147,CRWD,2022-03-10,6,15,-8,23,15,13,7
148,CS,2022-03-10,17,22,-16,31,0,-9,-8
149,CSCO,2022-03-10,28,32,-10,330,10,4,6
150,CSCW,2022-03-10,-5,0,-5,1,16,14,14
151,CSGP,2022-03-10,-4,8,-16,6,-3,-4,-1
152,CSIQ,2022-03-10,1,20,-19,2,6,4,4
153,CSX,2022-03-10,-15,0,-15,1,2,0,1
154,CTL,2022-03-10,-19,0,-19,2,-7,-4,-4
155,CTRM,2022-03-10,18,18,0,3,17,14,15
156,CTSH,2022-03-10,18,18,0,1,7,7,8
157,CURI,2022-03-10,20,20,0,1,7,6,7
158,CVE,2022-03-10,20,20,0,1,8,5,7
159,CVS,2022-03-10,18,18,0,2,13,9,11
160,CVX,2022-03-10,0,14,-16,34,2,0,-1
161,CXM,2022-03-10,0,0,0,1,6,4,4
162,CYBR,2022-03-10,19,19,0,1,7,7,5
163,CYRN,2022-03-10,31,31,0,35,25,21,13
