,stock,score,positive_score,negative_score,activity,activity_avg_7_days,activity_avg_14_days,activity_avg_30_days,score_avg_7_days,score_avg_14_days,score_avg_30_days
0,IMAX,0,31,-17,24365,6660,4125,3459,9,10,12
1,FB,3,50,-21,12645,42170,79518,58861,-27,-24,-9
2,TMUS,2,46,-34,10214,1973,1293,896,-2,-6,-5
3,AMZN,12,57,-44,5161,6373,5868,12409,-16,-8,-6
4,DISCB,-10,41,-34,5022,2600,2973,3285,-6,-9,-7
5,ASND,42,67,-10,4916,911,473,257,23,16,14
6,WB,15,41,-43,3701,4134,4634,4124,4,1,3
7,MRNA,5,44,-32,3507,2405,2977,9701,2,-8,-5
8,DE,-29,29,-33,2077,2839,1921,1093,-3,-2,4
9,CRM,-39,32,-59,1909,878,889,879,-6,1,5
10,TSLA,23,50,-35,1904,35052,22619,19092,23,7,3
11,ISIG,3,38,-20,1785,767,610,706,-7,-13,-4
12,RFIL,-10,34,-46,1768,1020,1184,696,-20,-23,-10
13,PHM,0,17,0,1763,2406,1909,1402,10,12,8
14,CRON,43,55,-8,1749,1541,1432,1356,20,15,19
15,GME,24,48,-35,1722,2497,3029,3241,10,14,14
16,AMC,26,54,-37,1699,2204,2996,3125,32,26,24
17,HUYA,3,30,-18,1628,321,938,528,0,-3,1
18,GS,26,42,-26,1475,2264,1819,2323,30,15,6
19,QCOM,27,52,-34,1456,1208,1460,1561,14,13,15
20,AMD,45,57,-26,1410,1361,1823,1675,32,30,27
21,CEI,15,51,-31,1407,1206,1178,848,32,31,27
22,XOM,3,42,-36,1378,30641,17612,17975,5,-4,-3
23,PFE,2,32,-31,1344,11445,14782,17139,-18,-25,-3
24,MS,35,54,-29,1325,5580,3376,2314,3,-1,-1
25,ATVI,-2,27,-38,1302,4311,3258,6773,-1,-10,-3
26,CRWD,22,49,-31,1293,606,595,487,20,14,7
27,CYRN,43,55,-31,1269,469,432,212,26,21,12
28,NKLA,24,50,-17,1219,463,593,756,10,5,7
29,NVAX,32,36,-21,1159,527,582,1122,14,10,16
30,KR,-16,28,-47,1120,2231,1483,3404,5,-4,-11
31,TFII,26,28,-11,1116,6705,3894,3843,17,13,16
32,ASTS,40,54,-26,1095,203,145,130,22,21,17
33,SPY,31,49,-29,1076,1899,1867,2134,10,9,10
34,BBY,33,50,-29,1075,686,1007,1068,13,12,10
35,MCD,-5,31,-36,1062,17294,11312,10770,-27,-16,-7
36,MSFT,5,36,-19,1032,16639,11608,11920,-6,-1,3
37,ES,25,49,-35,1019,846,912,866,20,15,14
38,SHOP,24,47,-29,1007,787,950,1278,19,10,12
39,ABNB,14,49,-40,1004,6681,8054,5098,-9,-1,4
40,GOOGL,38,50,-22,980,735,866,844,24,10,15
41,BLK,-16,31,-46,965,3061,2385,3584,-6,-8,-6
42,KKR,8,40,-12,965,4492,2938,8521,12,10,20
43,PLTR,29,51,-30,919,654,984,1348,25,15,16
44,BBIG,36,51,-25,918,932,966,1401,32,26,27
45,CROX,19,49,-35,906,1055,1186,1582,8,2,6
46,JPM,3,38,-34,896,3442,3016,3409,12,-3,2
47,NCR,-39,30,-45,896,418,419,632,-13,-7,-2
48,CVX,13,45,-35,886,29631,15522,17429,3,1,0
49,NIO,20,44,-30,864,950,1270,1198,11,5,11
