,stock,score,positive_score,negative_score,activity,activity_avg_7_days,activity_avg_14_days,activity_avg_30_days,score_avg_7_days,score_avg_14_days,score_avg_30_days
0,MCD,0,33,-32,18271,20019,13745,10580,-7,-19,-5
1,KKR,63,65,-19,5046,4343,4471,9188,32,16,22
2,WB,-8,27,-37,3981,3148,3995,4199,4,1,3
3,GBR,1,25,-13,3759,1399,1162,949,14,13,12
4,GME,33,54,-25,3049,2170,2669,3001,19,16,14
5,IMMR,2,29,-16,2958,844,705,852,5,1,3
6,TSLA,-40,44,-63,2744,6345,22420,17691,1,9,1
7,ARVL,8,33,-29,2390,7212,5345,4392,-2,-5,0
8,ORCL,53,63,-35,2350,1748,3645,3170,14,2,10
9,AMC,32,51,-30,2022,1861,2547,2669,30,28,26
10,MRNA,1,37,-42,1771,1643,2102,6896,3,-5,-6
11,YETI,3,32,-22,1685,518,480,481,10,5,6
12,PFE,-19,37,-49,1559,3439,12827,11529,-6,-20,-7
13,SHOP,43,54,-27,1453,1056,1058,1306,20,13,13
14,DB,-4,40,-37,1297,4749,2822,3450,-18,-16,-13
15,RACE,-11,37,-31,1217,4615,5761,5828,6,11,14
16,WEC,13,47,-30,1186,791,546,462,7,6,7
17,GS,8,47,-32,1185,8389,4991,3012,12,14,5
18,BRN,60,61,0,1165,485,274,144,31,23,13
19,WTRE,23,45,-28,1134,2169,4291,3862,5,7,5
20,COST,35,50,-24,1128,1000,1284,1575,10,8,7
21,BLK,3,50,-36,1088,2160,2274,2127,-9,-7,-8
22,REN,-8,44,-44,1084,730,2990,2802,8,-9,-8
23,OXY,52,57,-16,1044,683,811,485,32,21,17
24,TM,10,37,-29,1009,1884,2788,2889,23,11,13
25,IKNX,7,43,-32,995,218,202,291,13,2,4
26,NTES,48,48,-13,994,275,176,139,18,11,5
27,PDCO,27,49,-23,906,312,421,571,5,2,2
28,IMAX,16,43,-23,893,6552,5079,3439,12,11,11
29,FRAN,0,20,-12,854,126,65,34,2,4,4
30,QCOM,16,41,-16,833,1065,1406,1265,17,15,14
31,NIO,30,46,-24,825,954,1221,1157,17,10,10
32,DISCB,-6,32,-36,812,4717,3569,3624,7,-2,-6
33,ULTA,1,22,-17,806,250,191,110,10,12,10
34,ERIC,35,43,-16,800,403,477,491,7,-3,-1
35,T,-13,25,-37,797,720,633,1045,-8,-2,2
36,SPY,28,43,-28,779,1375,1676,1839,18,12,10
37,F,-6,37,-28,767,3394,6216,5457,0,5,-7
38,AMD,36,50,-24,743,1102,1293,1569,33,28,27
39,RBLX,1,27,-28,741,4504,3957,10182,-7,-3,-3
40,VZ,17,43,-26,716,1061,1167,2526,11,9,7
41,ADBE,-4,34,-35,703,8579,8049,5111,3,12,12
42,NCR,5,39,-34,693,999,664,715,-12,-12,-3
43,GM,11,35,-35,691,1377,1454,1581,9,6,11
44,BBY,-5,19,-30,689,579,801,933,10,12,9
45,ABNB,-2,34,-32,688,1431,7758,5055,5,3,3
46,CEI,34,47,-27,656,1025,1098,855,33,33,28
47,JPM,1,35,-33,655,2763,3212,2626,0,-2,-4
48,CROX,8,37,-26,651,998,1101,1619,5,3,5
49,LYFT,-2,27,-33,645,575,793,983,-2,-9,-7
