,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
291,CTRM,2022-03-13,-5,0,-12,5,16,14,15
292,CTSH,2022-03-13,0,0,0,1,8,6,8
293,CTXR,2022-03-13,13,20,0,3,11,8,4
294,CUTR,2022-03-13,0,0,0,1,10,9,8
295,CVE,2022-03-13,19,19,0,9,13,8,8
296,CVS,2022-03-13,-1,9,-12,2,12,9,10
297,CVX,2022-03-13,6,19,-10,54,4,0,1
298,CX,2022-03-13,-14,0,-14,1,5,7,7
299,CXM,2022-03-13,0,0,0,1,5,5,4
300,CXO,2022-03-13,15,15,0,2,20,17,13
301,CYBR,2022-03-13,-5,0,-11,7,4,4,5
302,CYRN,2022-03-13,-3,0,-20,7,21,20,12
303,CZR,2022-03-13,18,18,0,1,10,8,10
304,CZZ,2022-03-13,19,19,0,1,14,12,11
305,D,2022-03-13,-8,0,-15,2,9,8,6
306,DAL,2022-03-13,4,13,0,7,10,6,2
307,DARE,2022-03-13,20,20,0,1,11,8,5
308,DASH,2022-03-13,-2,22,-26,114,13,4,0
309,DATA,2022-03-13,9,19,0,4,16,14,14
310,DB,2022-03-13,2,18,-16,25,-21,-18,-13
311,DBD,2022-03-13,17,17,0,1,3,4,4
312,DBGI,2022-03-13,7,18,0,10,6,4,1
313,DBX,2022-03-13,25,34,-12,87,8,6,4
314,DDD,2022-03-13,0,0,0,4,8,9,7
315,DDOG,2022-03-13,-1,11,-5,14,14,13,17
316,DE,2022-03-13,2,18,-13,20,-1,-4,2
317,DEH,2022-03-13,9,14,-14,5,-3,-2,2
318,DEO,2022-03-13,2,19,0,8,5,4,3
319,DFS,2022-03-13,12,19,0,3,9,7,7
320,DG,2022-03-13,7,17,-17,8,14,4,5
321,DGLY,2022-03-13,5,13,0,5,7,8,7
322,DGX,2022-03-13,7,7,0,2,3,1,5
323,DHI,2022-03-13,0,0,0,1,6,7,6
324,DHR,2022-03-13,-24,0,-24,16,3,3,8
325,DIS,2022-03-13,6,22,-5,133,-5,4,10
326,DISCA,2022-03-13,-11,22,-27,101,8,7,11
327,DISCB,2022-03-13,10,29,-24,280,5,-6,-5
328,DISCK,2022-03-13,-10,25,-27,100,8,8,10
329,DISH,2022-03-13,0,0,0,1,6,7,6
330,DK,2022-03-13,0,0,0,3,9,9,6
331,DKNG,2022-03-13,5,17,-15,27,13,11,12
332,DKS,2022-03-13,7,19,-17,3,14,11,9
333,DLO,2022-03-13,0,0,0,1,9,11,11
334,DLPN,2022-03-13,0,0,0,3,0,2,0
335,DLTR,2022-03-13,-3,18,-13,21,3,-3,0
336,DNKN,2022-03-13,1,9,-9,9,-8,-7,-6
337,DNLI,2022-03-13,20,20,0,1,13,13,13
338,DNN,2022-03-13,18,18,0,1,24,21,18
339,DNUT,2022-03-13,-1,15,-15,26,4,6,6
340,DOCN,2022-03-13,6,14,0,13,9,9,10
341,DOCS,2022-03-13,9,9,0,3,9,15,15
342,DOCU,2022-03-13,-22,9,-24,40,8,2,3
343,DORM,2022-03-13,-17,0,-17,1,1,4,4
344,DOV,2022-03-13,-15,0,-15,2,8,10,9
345,DOW,2022-03-13,6,13,0,4,10,5,8
346,DPW,2022-03-13,4,20,-18,29,-1,-1,-1
347,DPZ,2022-03-13,0,0,0,1,8,8,7
348,DRE,2022-03-13,10,10,0,1,10,8,5
349,DRI,2022-03-13,12,12,0,2,4,7,8
350,DT,2022-03-13,6,13,0,8,7,7,7
351,DTE,2022-03-13,-10,0,-19,2,6,2,2
352,DTIL,2022-03-13,19,19,0,1,13,10,7
353,DTST,2022-03-13,18,18,0,1,13,13,8
354,DUK,2022-03-13,6,6,0,2,8,7,4
355,DVA,2022-03-13,12,17,0,3,8,5,5
356,DVN,2022-03-13,18,18,0,2,14,12,12
357,DWDP,2022-03-13,0,0,0,1,-1,-4,-6
358,DXCM,2022-03-13,10,15,0,3,8,5,5
359,DXYN,2022-03-13,20,20,0,1,5,3,4
360,DYNT,2022-03-13,-4,0,-11,6,7,6,5
361,EA,2022-03-13,-2,0,-4,10,6,5,7
362,EAST,2022-03-13,10,20,0,2,10,9,7
363,EB,2022-03-13,18,22,0,17,6,4,4
364,EBAY,2022-03-13,0,13,-16,28,-1,-7,-4
365,EBON,2022-03-13,18,18,0,1,13,12,10
366,EBR,2022-03-13,10,20,0,2,12,10,9
367,EBS,2022-03-13,20,20,0,1,12,8,7
368,EDIT,2022-03-13,-6,0,-12,6,4,4,4
