,stock,score,positive_score,negative_score,activity,activity_avg_7_days,activity_avg_14_days,activity_avg_30_days,score_avg_7_days,score_avg_14_days,score_avg_30_days
0,REN,-46,12,-49,23022,8178,6502,4035,-6,-10,-9
1,FB,-40,23,-64,14228,15106,28761,48439,-11,-20,-16
2,HSBC,12,41,-35,13453,2397,1479,1146,-16,-9,-17
3,CRM,-31,44,-60,12444,2942,2021,1418,3,-1,2
4,TM,6,47,-23,9688,3190,2746,2718,13,12,9
5,HMC,-44,41,-50,8516,3412,2699,2327,1,3,5
6,GME,15,66,-26,8231,3945,3238,3375,25,18,15
7,TSLA,-59,52,-75,8137,12381,25018,17789,-9,8,0
8,SBUX,-17,40,-29,7805,3050,4638,10154,-10,-10,-11
9,XOM,-28,44,-33,7372,9105,19879,16412,17,11,-5
10,PZZA,45,70,-52,6517,1046,670,927,-1,7,4
11,KKR,29,30,-20,6465,8566,6530,4731,42,27,22
12,DIS,2,23,-31,5494,1536,1709,2317,4,1,7
13,PHM,-2,57,-56,5408,778,1810,1456,5,5,3
14,WB,8,50,-31,4479,5193,4664,4579,2,3,2
15,NKE,-13,38,-23,3602,4017,6616,5447,8,9,8
16,AMC,13,50,-44,3523,2327,2275,2764,21,27,24
17,ADBE,0,41,-31,3460,10067,8417,5416,-9,5,9
18,AVAV,-35,34,-64,3447,499,257,129,-3,4,5
19,AMZN,41,56,-19,3278,23270,15224,11748,15,-1,-1
20,AAPL,58,64,-29,3115,13595,18057,26755,8,5,-3
21,F,-7,56,-53,3008,2959,3091,5311,-4,6,-5
22,PFE,-20,43,-58,2942,11264,11553,11711,-9,-15,-11
23,RACE,45,60,-30,2779,7011,4548,6533,17,14,16
24,FNKO,5,37,-17,2659,1309,1886,2493,11,11,6
25,HYMC,39,55,-30,2558,904,791,791,30,28,28
26,WFC,-20,33,-54,2542,1160,787,753,-2,-6,-3
27,C,-19,41,-44,2509,2087,1643,1551,-4,-7,-2
28,BABA,33,53,-38,2468,1648,1063,904,14,16,16
29,ABNB,34,51,-43,2316,1271,3990,4586,4,-2,3
30,MCD,6,37,-35,2270,7608,13154,9931,-11,-19,-7
31,CRON,46,58,-16,2173,987,1287,1279,24,22,18
32,SPY,18,48,-43,2141,1771,1868,1901,13,11,8
33,MMM,64,65,-15,1905,305,192,117,22,19,16
34,BIDU,33,50,-27,1894,616,516,342,4,12,7
35,BCS,12,42,-32,1744,7070,4094,3564,2,5,-1
36,MILE,63,64,0,1694,7,9,22,5,2,2
37,DISCB,45,57,-35,1551,4833,4047,4111,34,13,1
38,BBIG,41,53,-27,1500,1118,1026,1219,33,33,27
39,NTES,26,51,-24,1485,502,326,205,19,13,6
40,MS,12,49,-37,1284,904,3216,2312,4,2,-1
41,JD,29,42,-34,1243,558,348,190,7,6,6
42,MCFE,0,23,-23,1237,500,1330,926,-5,-5,-6
43,NIO,21,49,-36,1223,1156,1109,1256,14,12,10
44,PDD,37,54,-30,1211,348,202,112,18,16,10
45,MRNA,11,38,-39,1209,1518,1974,4218,13,8,-2
46,SQ,39,50,-25,1131,491,481,718,22,25,21
47,CVX,10,41,-41,1108,6919,18304,15073,24,13,2
48,PALI,49,53,-23,1055,181,99,56,16,9,7
49,GBR,2,28,-32,1031,1208,1178,1028,13,15,12
