level_0,timestamp,F_1_m_returns,EMA15,EMA30,EMA45,StochRSI
AGR,2022-03-04 15:44:00+00:00,-0.00045610034207532735,-0.0002863484972944919,-0.00028863985545425673,-0.00033693911435584925,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:45:00+00:00,-0.0011225188227241834,-0.00039086978797320336,-0.00034243849850392946,-0.00037109475385012467,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:46:00+00:00,0.0029510653071664894,2.687209891925825e-05,-0.00012995438200906376,-0.00022665301206679364,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:47:00+00:00,0.0003416078342064477,6.621406583015693e-05,-9.953101322096624e-05,-0.00020194601875056576,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:48:00+00:00,-0.0005691519635742104,-1.3206687845388986e-05,-0.0001298291390502078,-0.00021791149461246334,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:49:00+00:00,0.0015945330296127658,0.00018776077683688036,-1.8579966878403065e-05,-0.0001391095587765838,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:50:00+00:00,0.0012508528542187758,0.0003206472865096173,6.331892480528589e-05,-7.867641038548123e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:51:00+00:00,0.0019307211811470104,0.0005219065233392914,0.00018379648973055842,8.688702289844492e-06,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:52:00+00:00,0.0029471775107685616,0.0008250653967679501,0.00036207913624913926,0.00013644908526718003,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:53:00+00:00,-0.00022603978300195227,0.0006936772492967124,0.0003241359801684237,0.00012068869969026122,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:54:00+00:00,-0.001130454442685891,0.000465660787798887,0.00023029143675846791,6.629117176086332e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:55:00+00:00,-0.0004526935264826948,0.0003508664985136893,0.00018622789074290903,4.372661966331733e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:56:00+00:00,0.000226449275362528,0.00033531434561979415,0.00018882281878288446,5.167108295458736e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:57:00+00:00,-0.00022639800769763685,0.00026510030145511526,0.00016203437836478633,3.958112249144718e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:58:00+00:00,-0.0016983695652172948,1.9666568121063998e-05,4.2008317488523056e-05,-3.5981950887193766e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 15:59:00+00:00,-0.0007939208347511606,-8.203185723796407e-05,-1.1922595559198466e-05,-6.893581540301841e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:00:00+00:00,0.000454029511918419,-1.5024186093416187e-05,1.813883072968008e-05,-4.619819247599939e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:01:00+00:00,0.0,-1.3146162831739163e-05,1.696858358582975e-05,-4.418957541182551e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:02:00+00:00,0.0,-1.1502892477771767e-05,1.5873836257711704e-05,-4.226828952435484e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:03:00+00:00,0.0004538234626731974,4.6662901916099376e-05,4.412865086516239e-05,-2.0699082907069955e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:04:00+00:00,0.001020639600816331,0.00016840998927862832,0.00010712935731362488,2.4576512037425738e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:05:00+00:00,0.0007930214115781098,0.0002464864170660635,0.00015138045758875294,5.7987159843542433e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:06:00+00:00,0.0009055920307901033,0.00032887461878156846,0.0002000392687630336,9.483954553687117e-05,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:07:00+00:00,0.0011309658448315218,0.00042913602203781265,0.00026009904786422644,0.0001398885150714212,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
AGR,2022-03-04 16:08:00+00:00,0.00011296882060563007,0.0003896151218587898,0.0002506067751378654,0.00013871809357290856,<ta.momentum.StochRSIIndicator object at 0x0000027C952A5F48>
