,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
0,A,2022-03-07,-3,12,-14,9,7,6,7
1,AA,2022-03-07,9,13,0,3,21,14,17
2,AAC,2022-03-07,16,19,0,6,0,-1,4
3,AAL,2022-03-07,7,18,-16,61,2,3,1
4,AAP,2022-03-07,11,15,0,4,0,7,9
5,AAPL,2022-03-07,11,24,-20,70,-1,-14,-5
6,ABB,2022-03-07,0,0,0,1,6,5,7
7,ABBV,2022-03-07,14,16,0,7,11,14,15
8,ABC,2022-03-07,4,12,-19,4,11,12,16
9,ABEV,2022-03-07,20,20,0,1,11,9,10
10,ABNB,2022-03-07,4,27,-22,147,0,-3,0
11,ABT,2022-03-07,6,12,0,2,1,3,6
12,ABUS,2022-03-07,14,14,0,1,9,7,5
13,ACB,2022-03-07,4,18,-6,3,4,9,11
14,ACI,2022-03-07,-17,0,-17,3,4,1,1
15,ACN,2022-03-07,2,15,-20,13,-5,-4,2
16,ADBE,2022-03-07,17,29,-14,85,19,14,13
17,ADI,2022-03-07,0,0,0,1,5,8,8
18,ADM,2022-03-07,20,20,0,1,13,12,10
19,ADMP,2022-03-07,20,20,0,1,10,5,3
20,ADN,2022-03-07,9,9,0,16,2,2,5
21,ADNT,2022-03-07,18,18,0,1,11,10,6
22,ADP,2022-03-07,15,19,0,5,13,10,9
23,ADS,2022-03-07,16,16,0,2,15,14,14
24,ADSK,2022-03-07,-1,8,-10,7,10,9,11
25,ADT,2022-03-07,-6,11,-13,5,0,-2,0
26,ADTX,2022-03-07,4,8,0,2,9,9,9
27,ADV,2022-03-07,19,19,0,1,7,7,9
28,AEE,2022-03-07,0,0,0,1,6,7,9
29,AEI,2022-03-07,-15,0,-15,1,13,10,8
30,AEP,2022-03-07,0,0,0,1,8,8,7
31,AES,2022-03-07,-8,0,-8,1,4,1,3
32,AFL,2022-03-07,16,16,0,4,4,8,8
33,AFRM,2022-03-07,12,12,0,2,11,12,14
34,AG,2022-03-07,12,12,0,1,11,11,13
35,AGEN,2022-03-07,11,17,0,3,9,8,6
36,AGN,2022-03-07,20,20,0,1,7,6,2
37,AGNC,2022-03-07,14,14,0,1,9,7,6
38,AGR,2022-03-07,44,44,0,165,24,14,11
39,AHT,2022-03-07,0,0,0,2,3,5,6
40,AI,2022-03-07,2,19,-12,4,8,6,8
41,AIG,2022-03-07,-1,16,-19,2,1,2,6
42,AIRG,2022-03-07,20,20,0,1,10,8,7
43,AIRI,2022-03-07,0,0,0,3,8,12,11
44,AIZ,2022-03-07,20,20,0,1,3,5,6
45,AKAM,2022-03-07,8,11,0,4,8,7,8
46,AKRO,2022-03-07,-14,0,-14,1,5,6,7
47,ALB,2022-03-07,0,0,0,1,6,7,6
48,ALC,2022-03-07,19,19,0,9,-6,0,4
49,ALF,2022-03-07,13,13,0,1,11,7,6
50,ALGN,2022-03-07,2,5,0,2,6,7,8
51,ALK,2022-03-07,8,12,0,3,4,3,6
52,ALL,2022-03-07,10,20,0,2,10,13,10
53,ALLE,2022-03-07,20,20,0,1,11,9,8
54,ALLY,2022-03-07,12,12,0,1,7,4,5
55,ALNA,2022-03-07,0,0,0,1,9,3,5
56,ALRN,2022-03-07,8,8,0,1,9,7,5
57,ALT,2022-03-07,12,12,0,1,10,7,9
58,ALZN,2022-03-07,0,0,0,1,7,3,0
59,AM,2022-03-07,0,0,0,3,3,4,4
60,AMAT,2022-03-07,12,12,0,1,11,11,12
61,AMBO,2022-03-07,19,19,0,1,18,12,13
62,AMC,2022-03-07,28,47,-29,483,27,23,23
63,AMD,2022-03-07,22,28,-12,42,22,25,24
64,AME,2022-03-07,12,12,0,1,10,7,8
65,AMED,2022-03-07,12,12,0,1,6,5,5
66,AMGN,2022-03-07,6,12,0,2,9,9,7
67,AMKR,2022-03-07,20,20,0,1,8,4,7
68,AMPY,2022-03-07,-1,23,-22,101,-30,-27,-18
69,AMR,2022-03-07,0,0,0,3,12,9,10
70,AMT,2022-03-07,15,15,0,2,11,11,12
71,AMTX,2022-03-07,19,19,0,1,12,10,7
72,AMX,2022-03-07,13,13,0,1,1,4,3
73,AMZN,2022-03-07,8,16,-18,21,-11,-8,-5
74,ANET,2022-03-07,12,12,0,1,3,6,9
75,ANSS,2022-03-07,9,17,0,2,5,4,5
76,ANTM,2022-03-07,16,19,-9,11,5,9,8
77,ANY,2022-03-07,13,19,0,6,19,15,18
78,AON,2022-03-07,0,0,0,1,3,5,6
79,APA,2022-03-07,8,16,0,4,17,15,13
80,APC,2022-03-07,0,0,0,2,3,5,6
81,APDN,2022-03-07,19,19,0,1,7,4,7
82,APPH,2022-03-07,10,11,0,9,9,7,8
83,APPN,2022-03-07,0,0,0,1,3,3,5
84,APRN,2022-03-07,0,0,0,1,-3,-3,0
85,APT,2022-03-07,0,0,0,1,4,4,5
86,APTV,2022-03-07,11,11,0,3,-2,-2,4
87,AQST,2022-03-07,19,19,0,1,10,8,5
88,ARE,2022-03-07,0,0,0,3,3,4,5
89,AREC,2022-03-07,20,20,0,1,3,3,6
90,ARGX,2022-03-07,17,17,0,5,7,7,7
91,ARNC,2022-03-07,19,19,0,1,7,7,4
92,ARRY,2022-03-07,20,20,0,1,9,7,7
93,ARVL,2022-03-07,-9,22,-32,101,-14,-10,4
94,ASAN,2022-03-07,15,18,0,16,4,9,9
95,ASML,2022-03-07,12,12,0,1,7,8,9
96,ASND,2022-03-07,58,58,0,863,15,12,12
97,ASO,2022-03-07,11,16,0,3,7,8,8
