,stock,score,positive_score,negative_score,activity,activity_avg_7_days,activity_avg_14_days,activity_avg_30_days,score_avg_7_days,score_avg_14_days,score_avg_30_days
0,FB,8,61,-32,37884,98524,70116,62526,-2,-12,-2
1,STMP,-38,29,-40,12508,3045,4867,4007,-20,-13,-13
2,REN,-43,33,-44,10502,4716,3196,2324,-16,-17,-9
3,IMAX,27,35,-34,5379,2304,2162,3670,9,8,13
4,TSLA,-19,52,-60,4342,9532,9365,13611,-3,-5,1
5,DE,-49,39,-65,3752,2107,1166,757,-10,1,2
6,CNK,10,51,-37,3356,1068,1539,1045,15,8,6
7,AMPY,-40,39,-60,3283,5448,4917,3542,-32,-27,-17
8,WTRE,-6,28,-45,2756,2404,4210,6162,-6,0,2
9,PEP,-13,30,-41,2663,1396,2382,2318,-5,-8,1
10,GME,21,53,-42,2453,2713,3103,3184,15,12,16
11,AMC,41,59,-38,2351,3176,2971,3064,26,22,23
12,WB,8,33,-42,2157,3204,4531,3653,-2,-2,3
13,PHM,44,44,-8,2070,1897,1345,1282,10,15,13
14,HTZ,-52,24,-62,2059,514,378,567,-12,-2,0
15,SBUX,-22,48,-55,1933,2821,12031,18666,-3,-7,-19
16,GS,33,59,-46,1929,1179,1216,2032,6,5,2
17,ATVI,-15,37,-44,1777,2352,5295,6469,-17,-12,-5
18,DASH,-2,35,-35,1737,1099,1140,1189,-8,-10,-4
19,JPM,0,42,-47,1680,2761,2067,2860,-9,-7,1
20,CRON,15,42,-41,1646,1301,1423,1261,7,6,17
21,CEI,27,51,-30,1549,1034,882,692,31,27,25
22,COST,17,43,-34,1418,1430,1397,1545,9,6,7
23,SOFI,22,51,-33,1417,1597,1204,966,20,20,20
24,VZ,18,47,-40,1391,1087,1198,2714,13,9,11
25,HMC,15,37,-34,1291,2100,1980,2273,5,3,10
26,OXY,31,50,-29,1277,438,339,242,15,12,16
27,SE,29,52,-38,1195,714,499,483,14,16,16
28,SPY,20,50,-38,1192,1542,1664,2056,4,4,10
29,BW,37,38,-14,1184,568,319,315,8,1,4
30,LMT,-23,40,-55,1181,1117,1423,1155,-6,-10,1
31,GGPI,55,57,-14,1167,583,363,372,31,23,24
32,CVX,19,46,-39,1134,1308,1475,10852,-11,0,-5
33,RFIL,-40,21,-45,1124,1072,870,544,-22,-16,-8
34,MA,7,45,-36,1122,32573,18645,10550,-28,-12,-3
35,ARVL,-20,32,-46,1096,2753,2914,3672,-18,-11,4
36,SHOP,18,51,-34,1090,1011,955,1267,2,5,11
37,XOM,7,43,-32,1089,4828,2949,11155,-17,-11,-7
38,PFE,-19,38,-48,1079,17661,13111,17618,-33,-21,-3
39,ABNB,-9,37,-42,1065,11219,6492,4550,9,2,3
40,NTDOY,28,48,-24,1034,6974,7638,13637,11,12,15
41,LXU,0,25,-22,1022,215,121,82,2,4,5
42,YETI,2,37,-34,1021,407,456,625,0,1,4
43,WMT,15,47,-37,1004,1985,2301,2631,1,3,7
44,CS,-31,40,-53,1004,3175,4034,2151,-25,-25,-12
45,Z,-3,23,-28,1002,437,828,681,-4,-6,2
46,BA,16,35,-33,993,4735,3073,2224,-1,-5,4
47,AMD,33,52,-32,978,1426,1794,1590,19,24,24
48,YELP,1,22,-27,951,379,439,387,-7,1,3
49,C,-18,38,-49,944,1779,1643,1579,-1,1,4
