,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
0,A,2022-03-09,4,19,0,5,8,6,7
1,AAC,2022-03-09,5,20,0,4,0,-1,3
2,AAL,2022-03-09,8,18,-12,49,5,4,2
3,AAP,2022-03-09,0,0,0,1,-1,5,8
4,AAPL,2022-03-09,8,22,-15,52,2,-11,-6
5,AAU,2022-03-09,-12,0,-12,1,6,6,8
6,ABB,2022-03-09,0,0,0,1,4,5,7
7,ABBV,2022-03-09,-1,17,-20,3,8,11,14
8,ABIO,2022-03-09,20,20,0,1,8,8,5
9,ABMD,2022-03-09,-16,0,-16,1,4,6,6
10,ABNB,2022-03-09,6,24,-19,96,-2,-1,2
11,ABT,2022-03-09,17,17,0,1,4,5,7
12,ACAD,2022-03-09,20,20,0,1,5,4,6
13,ACB,2022-03-09,5,19,-10,2,6,6,10
14,ACI,2022-03-09,7,11,0,3,7,3,2
15,ACN,2022-03-09,3,18,0,11,-2,-3,3
16,ACOR,2022-03-09,6,6,0,1,6,5,6
17,ADBE,2022-03-09,-2,20,-16,66,18,14,14
18,ADES,2022-03-09,18,18,0,2,13,12,9
19,ADI,2022-03-09,-4,18,-10,5,2,5,7
20,ADM,2022-03-09,8,17,0,2,14,13,10
21,ADN,2022-03-09,15,15,0,2,5,4,5
22,ADS,2022-03-09,2,20,0,12,13,11,12
23,ADSK,2022-03-09,-4,19,-12,4,9,10,12
24,ADT,2022-03-09,-9,0,-9,1,-1,-1,-1
25,AEE,2022-03-09,14,14,0,4,8,8,9
26,AEI,2022-03-09,17,19,0,10,21,15,11
27,AEP,2022-03-09,6,17,-16,3,8,9,7
28,AFL,2022-03-09,1,18,-14,4,4,5,8
29,AGN,2022-03-09,0,0,0,1,6,5,3
30,AGNC,2022-03-09,0,0,0,1,10,7,7
31,AGR,2022-03-09,10,19,0,2,28,16,11
32,AGRX,2022-03-09,0,19,-19,2,8,3,3
33,AIG,2022-03-09,8,19,-16,3,6,2,6
34,AIKI,2022-03-09,19,19,0,1,10,7,6
35,AIZ,2022-03-09,0,0,0,1,2,3,6
36,AJX,2022-03-09,17,17,0,1,9,9,9
37,AKAM,2022-03-09,10,15,-7,7,10,9,9
38,AKBA,2022-03-09,20,20,0,1,7,7,4
39,AKER,2022-03-09,16,16,0,1,18,18,15
40,AKRO,2022-03-09,14,20,-13,9,11,10,9
41,ALB,2022-03-09,7,20,-7,2,5,6,6
42,ALK,2022-03-09,12,12,0,2,1,2,6
43,ALKS,2022-03-09,0,0,0,1,6,6,9
44,ALL,2022-03-09,2,19,-1,13,9,10,11
