,stock,score,positive_score,negative_score,activity,activity_avg_7_days,activity_avg_14_days,activity_avg_30_days,score_avg_7_days,score_avg_14_days,score_avg_30_days
0,PFE,-22,54,-67,15557,6747,14231,10672,-8,-20,-10
1,WB,4,53,-40,9463,4320,4439,4424,3,1,3
2,REN,29,48,-30,8113,1969,3444,2587,3,-8,-6
3,MGM,26,27,-21,7574,1329,967,1629,0,-3,-2
4,MSFT,0,21,-28,6685,35507,24989,15984,14,4,4
5,ORCL,1,29,-21,6554,27476,16510,8902,14,2,8
6,CLX,70,70,-15,5545,1146,606,584,18,5,6
7,RBLX,-22,28,-52,4532,5342,4492,9934,-11,-7,-4
8,SPOT,52,55,-30,4301,11470,11503,14044,28,21,12
9,TSLA,42,65,-34,3706,12989,25773,18159,6,13,4
10,GS,43,64,-43,3693,8889,5209,3160,14,17,8
11,RACE,14,28,-32,3601,6350,6657,6255,4,10,13
12,BA,6,46,-27,3188,16888,10895,5893,-19,-15,-4
13,DISCB,32,43,-11,3048,5113,3275,3781,12,7,-4
14,CROX,-3,31,-7,2940,1459,1325,1723,5,6,6
15,GME,10,46,-42,2917,2457,2791,3107,21,16,13
16,GOOG,-55,23,-57,2905,8232,8841,14472,-15,-13,-15
17,KKR,24,56,-23,2890,5926,5215,6015,36,21,22
18,NFLX,0,29,-26,2826,7889,13412,14135,-4,-12,-4
19,BLK,-23,21,-51,2809,2144,2693,2283,-14,-10,-8
20,FB,-41,35,-46,2503,15957,29747,48811,-9,-22,-17
21,TM,-32,42,-58,2297,2105,2816,2836,15,10,10
22,VZ,1,29,-24,2270,1533,1353,2368,9,10,8
23,AMC,5,50,-50,2239,2025,2585,2720,26,28,26
24,GBR,-7,24,-36,1868,1550,1294,1000,11,13,12
25,AAPL,20,33,-34,1805,21942,30135,35865,1,0,-6
26,NIO,7,39,-44,1601,1153,1180,1223,13,9,10
27,ARVL,-5,28,-43,1584,7459,5421,4512,-6,-5,0
28,JPM,-13,38,-38,1582,2619,2538,2705,-3,0,-5
29,OLB,3,26,-20,1566,1287,782,424,21,15,14
30,MCD,-11,34,-42,1558,21023,14217,10997,-12,-21,-6
31,SBUX,-17,32,-46,1497,3651,4350,9957,-12,-9,-11
32,JACK,-34,21,-37,1469,312,234,205,-5,0,-2
33,ATVI,-16,33,-45,1452,4713,4474,5394,3,-1,-5
34,BABA,21,52,-41,1441,989,720,739,18,17,17
35,SOFI,33,50,-33,1400,770,1076,985,16,18,18
36,BBIG,34,53,-28,1273,1037,989,1244,32,31,27
37,NKE,16,43,-26,1223,4912,7191,5551,12,19,9
38,BCS,-21,38,-51,1212,6656,3928,3568,2,-1,-4
39,JNJ,-22,44,-53,1204,655,1486,1231,-6,-9,-3
40,COIN,23,40,-27,1195,502,518,729,21,18,17
41,MRNA,29,51,-32,1169,1694,2114,4546,9,2,-5
42,FNKO,4,36,-36,1144,2115,2152,2508,9,8,6
43,PYPL,14,44,-29,1075,2905,9145,6587,-4,-13,-14
44,CEI,33,48,-29,1067,1053,1130,902,32,33,29
45,C,0,34,-34,1030,663,1211,1691,1,-4,1
46,T,-2,30,-39,1014,899,677,851,-10,-4,2
47,SNE,55,55,0,1007,192,106,58,31,21,16
48,IBN,52,58,-25,964,261,177,152,3,-3,-3
49,WEC,11,35,-29,943,1020,710,572,11,7,9
