,stock,score,positive_score,negative_score,activity,activity_avg_7_days,activity_avg_14_days,activity_avg_30_days,score_avg_7_days,score_avg_14_days,score_avg_30_days
0,MCO,-19,35,-70,11971,2810,2129,1115,-24,-20,-10
1,XOM,-7,51,-55,2815,8058,5095,12188,-34,-20,-11
2,GME,30,55,-30,2417,2728,3037,3198,14,13,15
3,TM,47,55,-26,2403,3101,2623,3942,8,-2,7
4,PFE,-16,42,-36,2381,19179,14329,18219,-38,-29,-5
5,PEP,-8,32,-42,2268,9948,6844,4415,-21,-17,-2
6,WB,4,28,-31,2266,3210,4421,3755,0,0,2
7,CVX,-9,50,-58,2218,5248,3600,11788,-12,-9,-5
8,NFLX,2,34,-26,2154,13926,13821,21128,-19,-17,4
9,ORCL,3,28,-29,2140,5196,4201,3276,-7,4,11
10,AXP,-27,23,-57,2063,675,682,431,-8,2,4
11,MCD,-11,35,-44,1980,6052,8157,8051,-35,-21,-9
12,MA,6,39,-48,1791,61936,34501,17975,-22,-14,-3
13,JPM,4,38,-29,1787,1672,2200,2963,10,-4,2
14,BLK,17,47,-34,1691,1901,1843,3408,-8,-11,-8
15,AMC,26,51,-38,1688,2854,2866,3048,30,22,23
16,NOK,0,29,-24,1455,1438,967,859,8,7,9
17,NIO,21,50,-39,1451,1088,1262,1197,6,6,12
18,LCID,53,56,-17,1345,684,1091,982,28,22,25
19,FNKO,20,35,-32,1341,2030,1933,2390,5,6,3
20,TSLA,31,52,-28,1340,34268,22058,19737,14,3,3
21,OXY,3,46,-49,1327,882,557,355,10,10,14
22,KKR,9,39,-15,1323,2604,2702,8084,7,6,20
23,BBBY,29,50,-23,1289,258,186,122,13,5,9
24,HMC,14,42,-24,1279,2902,2430,2313,4,2,8
25,GS,40,49,-27,1275,1240,1458,2104,16,8,3
26,DIS,24,34,-27,1210,2131,3203,2604,-3,6,12
27,CEI,38,51,-21,1171,1015,1004,742,31,30,27
28,ABNB,23,47,-37,1165,8610,7433,4893,-7,-4,1
29,KO,-17,37,-45,1160,2056,1321,1556,-3,-2,-4
30,RACE,29,48,-24,1159,6766,5066,5569,17,16,17
31,C,-9,40,-27,1137,1389,1693,1623,-6,-4,3
32,LMT,42,53,-21,1124,921,1376,1185,2,-7,2
33,GOLD,16,47,-32,1096,554,608,646,19,16,18
34,CNK,7,20,-15,1075,994,1329,1072,8,9,6
35,NKE,8,40,-32,1057,5421,4600,5038,16,6,4
36,AMD,29,53,-34,1053,1264,1748,1579,23,27,25
37,ASND,51,58,0,1018,207,118,65,16,12,12
38,BBIG,36,50,-30,995,752,916,1395,27,23,27
39,HD,5,42,-13,975,838,900,1065,4,3,6
40,CRON,24,41,-18,971,1260,1380,1284,10,7,17
41,AMPY,-4,33,-35,949,2614,5159,3609,-29,-30,-18
42,WTRE,21,40,-24,943,3848,5155,6561,-4,1,4
43,MRNA,-2,33,-18,919,2302,6153,9559,-6,-13,-5
44,MDB,28,50,-26,912,472,416,370,11,7,7
45,DASH,-9,31,-40,854,1378,1139,1246,-6,-6,-5
46,IMAX,16,39,-25,827,3319,2346,3938,11,8,14
47,SPY,26,46,-33,797,1662,1769,2072,7,6,10
48,KR,8,39,-29,774,2258,1602,3360,0,-9,-12
49,FTSI,-27,29,-45,764,1101,879,850,-11,-10,-2
