,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
0,A,2022-03-06,0,0,0,1,7,6,7
1,ABC,2022-03-06,19,19,0,1,10,11,16
2,ACN,2022-03-06,0,0,0,1,-6,-4,3
3,ADBE,2022-03-06,49,51,-10,493,9,8,11
4,ADM,2022-03-06,20,20,0,1,15,12,10
5,AEE,2022-03-06,0,0,0,2,7,7,9
6,ALL,2022-03-06,-15,0,-19,5,6,12,9
7,AMD,2022-03-06,19,19,0,1,25,24,24
8,AMPY,2022-03-06,-13,15,-16,13,-35,-27,-17
9,ANY,2022-03-06,15,15,0,1,18,15,18
10,ARLP,2022-03-06,20,20,0,1,13,12,12
11,ARVL,2022-03-06,-3,11,-14,23,-17,-11,4
12,AT,2022-03-06,0,0,0,1,4,3,4
13,ATA,2022-03-06,18,18,0,2,13,12,13
14,ATVI,2022-03-06,0,15,-19,407,-16,-11,-4
15,AUD,2022-03-06,-17,0,-17,8,-23,-17,-7
16,AUTO,2022-03-06,0,0,0,1,8,7,10
17,AVGO,2022-03-06,-20,0,-20,1,13,10,10
18,AVXL,2022-03-06,10,10,0,2,5,5,6
19,AXP,2022-03-06,-7,0,-20,3,-5,6,6
20,BAC,2022-03-06,-7,0,-14,2,6,2,6
21,BARK,2022-03-06,19,19,0,1,11,11,8
22,BB,2022-03-06,6,19,0,3,8,10,12
23,BCE,2022-03-06,-19,0,-19,2,-2,-8,-4
24,BCH,2022-03-06,20,20,0,1,17,18,14
25,BCS,2022-03-06,2,16,-12,8,-7,-6,-2
26,BKI,2022-03-06,-7,0,-7,1,-1,0,3
27,BKNG,2022-03-06,-18,0,-18,1,6,5,7
28,BLK,2022-03-06,14,14,0,1,-10,-11,-8
29,BTU,2022-03-06,6,19,-20,3,9,7,11
30,C,2022-03-06,0,0,0,1,-5,0,4
31,CAH,2022-03-06,20,20,0,1,6,5,5
32,CAKE,2022-03-06,-4,0,-4,1,-1,-1,2
33,CASA,2022-03-06,7,14,-15,4,2,2,7
34,CCOI,2022-03-06,-9,0,-9,1,-9,-4,1
35,CEI,2022-03-06,16,16,0,1,28,27,25
36,CERE,2022-03-06,0,0,0,1,4,5,9
37,CLOV,2022-03-06,19,19,0,2,7,10,12
38,CLSK,2022-03-06,0,0,0,2,3,6,8
39,COF,2022-03-06,20,20,0,1,6,5,8
40,COIN,2022-03-06,0,0,0,1,10,13,16
41,COP,2022-03-06,0,0,0,1,8,8,10
42,COUR,2022-03-06,-13,18,-20,6,1,0,5
43,CRCT,2022-03-06,20,20,0,1,1,2,3
44,CRHC,2022-03-06,20,20,0,1,9,7,5
45,CRM,2022-03-06,3,12,0,10,9,8,7
46,CRTD,2022-03-06,-15,0,-15,1,-7,-2,2
47,CSCO,2022-03-06,20,20,0,1,1,2,4
48,CSGP,2022-03-06,-10,0,-19,2,-6,-5,-1
49,CSX,2022-03-06,-18,0,-18,2,-1,-2,0
50,CTRA,2022-03-06,18,18,0,1,11,9,9
51,CURI,2022-03-06,0,0,0,1,1,8,6
52,CVX,2022-03-06,11,16,-16,9,-11,-2,-7
53,DASH,2022-03-06,-6,15,-13,32,-4,-6,-3
54,DB,2022-03-06,-19,0,-19,1,-19,-13,-7
55,DBX,2022-03-06,6,7,0,5,3,5,3
56,DKNG,2022-03-06,8,13,-17,19,8,8,11
57,DNUT,2022-03-06,2,20,0,9,6,7,5
58,DRI,2022-03-06,10,10,0,1,11,11,10
59,DTE,2022-03-06,-6,0,-6,1,-3,0,3
60,EB,2022-03-06,-6,0,-6,2,0,1,3
61,EBAY,2022-03-06,-2,13,-19,4,-12,-10,-4
62,EFX,2022-03-06,-8,0,-8,1,-7,-4,-1
63,ERIC,2022-03-06,0,0,0,1,-15,-5,0
64,ETR,2022-03-06,-16,0,-16,1,-8,-6,-2
65,ETSY,2022-03-06,6,15,0,5,1,-2,0
66,EXAS,2022-03-06,17,17,0,1,3,3,4
67,FB,2022-03-06,1,13,-18,22,-11,-13,-4
68,FL,2022-03-06,-13,0,-19,3,-9,-6,2
69,FLEX,2022-03-06,-2,16,-20,2,2,4,6
70,FSLY,2022-03-06,13,19,0,3,8,5,7
71,FTCH,2022-03-06,-12,0,-12,1,1,2,4
72,FTSI,2022-03-06,6,20,-16,24,-5,-2,-3
73,FVRR,2022-03-06,0,12,-16,11,-4,0,4
74,GBR,2022-03-06,-5,0,-10,2,12,9,11
75,GE,2022-03-06,0,0,0,1,3,6,8
76,GEN,2022-03-06,20,20,0,1,7,5,8
77,GEVO,2022-03-06,0,0,0,1,5,4,7
78,GFX,2022-03-06,0,0,0,1,13,10,10
79,GLW,2022-03-06,18,18,0,1,4,3,8
80,GOOG,2022-03-06,-2,15,-15,19,-33,-19,-20
81,GOOGL,2022-03-06,15,15,0,1,-1,6,12
82,GRPN,2022-03-06,7,7,0,1,3,2,5
83,GS,2022-03-06,10,20,0,2,10,8,4
84,GSAT,2022-03-06,19,19,0,1,9,6,8
85,GSM,2022-03-06,-19,0,-19,1,5,5,7
86,GT,2022-03-06,17,17,0,2,-8,-3,1
87,HCA,2022-03-06,19,19,0,1,16,15,16
88,HOG,2022-03-06,2,5,0,2,-1,2,5
89,HSY,2022-03-06,4,20,-12,4,1,4,8
90,HUBS,2022-03-06,0,0,0,1,9,10,12
91,INFY,2022-03-06,-12,0,-16,4,1,0,0
92,IRM,2022-03-06,20,20,0,1,12,9,6
93,ISIG,2022-03-06,-8,0,-16,2,-17,-9,-5
94,JACK,2022-03-06,-19,0,-19,4,1,-4,-1
95,JPM,2022-03-06,-1,16,-19,3,-4,-5,2
96,JWN,2022-03-06,-9,0,-9,1,3,2,6
97,KAR,2022-03-06,12,12,0,1,8,9,10
98,KSU,2022-03-06,0,0,0,1,0,-1,0
99,LAZR,2022-03-06,20,20,0,1,6,3,7
100,LEA,2022-03-06,-17,0,-17,1,1,2,4
101,LGVN,2022-03-06,-20,0,-20,1,5,2,5
102,LKQ,2022-03-06,0,0,0,1,3,4,3
103,LN,2022-03-06,13,13,0,1,4,4,7
104,LNTH,2022-03-06,-14,0,-14,1,13,13,10
105,LYFT,2022-03-06,-6,14,-16,18,-17,-13,-6
106,LYG,2022-03-06,20,20,0,1,8,5,6
107,LYV,2022-03-06,-14,0,-14,1,-2,4,5
108,LZ,2022-03-06,14,14,0,2,6,8,8
109,MA,2022-03-06,-35,11,-40,230,-26,-16,-5
110,MARA,2022-03-06,20,20,0,1,22,18,21
111,MCD,2022-03-06,12,20,-17,81,-15,-11,-7
112,MCFE,2022-03-06,0,0,0,2,-5,-4,-6
113,MCO,2022-03-06,-12,0,-12,1,-26,-17,-11
114,MGI,2022-03-06,-13,0,-13,1,-4,-2,1
115,MICT,2022-03-06,15,15,0,1,7,4,1
116,MILE,2022-03-06,-20,0,-20,1,2,2,4
117,MMAT,2022-03-06,0,0,0,1,13,11,14
118,MPC,2022-03-06,20,20,0,1,3,2,3
119,MSCI,2022-03-06,0,0,0,1,-8,-2,4
120,MSFT,2022-03-06,1,20,-16,38,-8,-1,4
121,MSTR,2022-03-06,20,20,0,1,9,6,7
122,NAVI,2022-03-06,-15,0,-15,1,-14,-12,-9
123,NCR,2022-03-06,0,0,0,1,-9,0,1
124,NEGG,2022-03-06,20,20,0,1,5,4,4
125,NI,2022-03-06,15,15,0,2,8,5,7
126,NIHD,2022-03-06,4,15,-20,3,-4,-1,3
127,NINE,2022-03-06,20,20,0,1,15,11,7
128,NOK,2022-03-06,-7,0,-20,3,8,8,8
129,NOW,2022-03-06,0,0,0,1,6,6,9
130,NSC,2022-03-06,20,20,0,1,14,13,11
131,NTDOY,2022-03-06,19,28,-16,56,16,11,18
132,NUE,2022-03-06,9,9,0,2,10,9,8
133,NVDA,2022-03-06,2,15,-18,24,0,-2,7
134,NWSA,2022-03-06,19,19,0,2,-8,-9,-13
135,O,2022-03-06,20,20,0,1,9,12,13
136,ODP,2022-03-06,-7,0,-7,1,-7,-4,1
137,OGN,2022-03-06,5,20,-18,4,10,12,14
138,OPEN,2022-03-06,8,19,0,5,8,9,11
139,ORCL,2022-03-06,6,15,0,14,0,4,12
140,OXY,2022-03-06,1,20,-17,3,12,11,16
141,PDD,2022-03-06,17,17,0,1,5,5,7
142,PETZ,2022-03-06,-13,0,-13,1,12,13,17
143,PGR,2022-03-06,20,20,0,1,8,8,8
144,PHI,2022-03-06,-15,0,-15,3,-12,-7,-4
145,PINS,2022-03-06,4,17,-15,22,0,1,4
146,PLAN,2022-03-06,19,19,0,1,11,8,9
147,PLAY,2022-03-06,20,20,0,1,6,3,7
148,PLTR,2022-03-06,22,24,-20,21,11,12,15
149,PRPO,2022-03-06,20,20,0,1,7,7,4
150,PYPL,2022-03-06,43,46,-15,482,-32,-25,-10
151,QCOM,2022-03-06,19,19,0,1,13,12,16
152,RAD,2022-03-06,0,0,0,3,6,9,9
153,RBLX,2022-03-06,0,24,-25,60,-6,-6,2
154,RES,2022-03-06,19,19,0,1,-9,-5,1
155,RF,2022-03-06,0,0,0,1,3,4,6
156,RFIL,2022-03-06,-9,0,-9,1,-23,-16,-8
157,RL,2022-03-06,18,18,0,1,-4,2,5
158,SBUX,2022-03-06,-2,15,-19,21,2,-6,-18
159,SCHW,2022-03-06,-20,0,-20,1,-5,-2,-1
160,SHAK,2022-03-06,0,0,0,2,16,9,10
161,SHOP,2022-03-06,10,14,0,3,5,7,11
162,SKLZ,2022-03-06,19,19,0,2,7,7,8
163,SLB,2022-03-06,20,20,0,1,14,14,17
164,SM,2022-03-06,3,18,-16,44,5,6,8
165,SNAP,2022-03-06,-3,12,-16,22,2,7,8
166,SO,2022-03-06,20,20,0,1,6,6,7
167,SOFI,2022-03-06,13,20,-14,5,19,18,20
168,SPOT,2022-03-06,2,15,-16,8,5,-3,1
169,SRNE,2022-03-06,20,20,0,1,7,5,7
170,STLA,2022-03-06,0,0,0,2,5,6,3
171,STMP,2022-03-06,6,11,0,4,-13,-10,-10
172,STT,2022-03-06,-19,0,-19,1,15,9,9
173,T,2022-03-06,2,18,-16,11,3,5,7
174,TER,2022-03-06,-20,0,-20,1,5,6,8
175,TME,2022-03-06,18,18,0,1,7,6,7
176,TMUS,2022-03-06,5,20,0,4,-7,-5,-4
177,TUP,2022-03-06,0,0,0,1,-10,-1,2
178,TWNK,2022-03-06,20,20,0,1,-1,2,6
179,TWTR,2022-03-06,-15,0,-15,1,-39,-24,-16
180,UAA,2022-03-06,20,20,0,1,9,6,4
181,UBER,2022-03-06,0,19,-19,2,6,8,11
182,UL,2022-03-06,-20,0,-20,1,-8,-7,-3
183,ULTA,2022-03-06,15,15,0,1,12,10,10
184,UPWK,2022-03-06,0,0,0,1,-20,-13,-2
185,URBN,2022-03-06,-8,0,-8,7,-2,-3,1
186,USEG,2022-03-06,20,20,0,1,14,12,11
187,V,2022-03-06,5,20,-5,3,8,7,9
188,VEEV,2022-03-06,0,0,0,1,5,7,6
189,VET,2022-03-06,0,0,0,1,3,4,3
190,VII,2022-03-06,19,19,0,6,18,18,15
191,VMW,2022-03-06,3,11,-18,6,10,7,9
192,VZ,2022-03-06,7,18,-15,14,10,8,10
193,WB,2022-03-06,-11,0,-29,180,-2,-3,2
194,WIN,2022-03-06,0,0,0,2,9,13,17
195,WING,2022-03-06,-10,18,-16,9,-2,-5,-1
196,WISH,2022-03-06,19,19,0,2,7,10,12
197,WIT,2022-03-06,15,15,0,1,2,2,6
198,WIX,2022-03-06,-7,0,-7,1,5,7,6
199,WRTC,2022-03-06,-20,0,-20,1,3,6,6
200,WTI,2022-03-06,19,19,0,1,5,6,10
201,WU,2022-03-06,10,20,0,2,-11,-11,-5
202,XLNX,2022-03-06,10,10,0,1,3,5,8
203,XOM,2022-03-06,-7,11,-18,5,-20,-16,-10
204,XPOA,2022-03-06,-20,0,-20,1,5,5,7
205,Z,2022-03-06,19,19,0,3,-4,-5,2
206,ZDGE,2022-03-06,19,19,0,1,14,10,7
207,ZG,2022-03-06,6,17,-16,3,-8,-7,0
